"session","skill","messages","sub_calls","input","cache_create","cache_read","output","total_in","duration_s","started"
"60f785f3-09b0-475c-b87f-31417e94d785","spec-generate","3","0","11","30612","57987","392","88610","3","2026-05-04T17:48:03.939Z"
"60f785f3-09b0-475c-b87f-31417e94d785","(none)","16","0","66","10170","523266","5140","533502","925","2026-05-04T17:48:42.047Z"
"60f785f3-09b0-475c-b87f-31417e94d785","us-generate","2","0","10","4946","65998","454","70954","0","2026-05-04T18:03:04.546Z"
"45cd5f34-1222-4b2a-bd33-b25774770d24","(none)","210","0","438","624557","39537155","241609","40162150","10217","2026-05-04T18:17:44.500Z"
"6721d043-1ed2-4d83-accb-dcbdedf53796","(none)","287","0","640","3090744","64081525","345061","67172909","53956","2026-05-04T18:17:44.500Z"
"6721d043-1ed2-4d83-accb-dcbdedf53796","ui-generate","9","0","29","119912","237025","2767","356966","498","2026-05-04T18:52:05.723Z"
"45cd5f34-1222-4b2a-bd33-b25774770d24","ui-generate","9","0","29","119912","237025","2767","356966","498","2026-05-04T18:52:05.723Z"
"6721d043-1ed2-4d83-accb-dcbdedf53796","sdd-status","7","0","31","177049","167790","2255","344870","5","2026-05-04T19:55:55.606Z"
"45cd5f34-1222-4b2a-bd33-b25774770d24","sdd-status","7","0","31","177049","167790","2255","344870","5","2026-05-04T19:55:55.606Z"
"45cd5f34-1222-4b2a-bd33-b25774770d24","sdd-run","8","0","18","17368","413571","2219","430957","62","2026-05-04T19:56:26.364Z"
"6721d043-1ed2-4d83-accb-dcbdedf53796","sdd-run","8","0","18","17368","413571","2219","430957","62","2026-05-04T19:56:26.364Z"
"cd2f0a1b-50e8-4e55-b219-ea22220da2a2","sdd-full","8","0","26","110934","515318","4502","626278","607","2026-05-04T21:09:08.852Z"
"cd2f0a1b-50e8-4e55-b219-ea22220da2a2","(none)","112","0","230","481307","11606558","141623","12088095","4260","2026-05-04T21:11:10.003Z"
"cd2f0a1b-50e8-4e55-b219-ea22220da2a2","sdd-run","5","0","20","15224","259962","2620","275206","39","2026-05-04T21:11:20.281Z"
"2a91dead-203a-4370-9adb-aeb102e395d8","sdd-full","2","0","10","146978","0","176","146988","0","2026-05-05T22:05:19.890Z"
"2a91dead-203a-4370-9adb-aeb102e395d8","(none)","38","0","73","89896","5623841","25933","5713810","5379","2026-05-05T22:05:29.348Z"
"2a91dead-203a-4370-9adb-aeb102e395d8","sdd-run","10","0","25","15961","827421","4230","843407","500","2026-05-05T22:05:40.031Z"
"2a91dead-203a-4370-9adb-aeb102e395d8","spec-validate","13","0","18","76896","1298606","17825","1375520","290","2026-05-05T22:14:02.078Z"
"2a91dead-203a-4370-9adb-aeb102e395d8","dev-run","31","0","51","55260","4087023","24800","4142334","2988","2026-05-05T22:18:56.222Z"
"db482e72-3477-406a-926b-92141c674327","(none)","319","0","554","1551110","65226524","218952","66778188","9991","2026-05-06T06:51:02.200Z"
"d4a79223-28ec-4b51-b47b-00e329dfdaa7","(none)","255","0","460","683892","45978236","162315","46662588","7420","2026-05-06T06:51:02.200Z"
"f3b73ea3-e44d-4219-b1b2-60605d68a5f0","sdd-clear","7","0","30","183156","417191","4416","600377","203","2026-05-06T13:33:30.232Z"
"f3b73ea3-e44d-4219-b1b2-60605d68a5f0","(none)","288","0","383","877983","85993142","250953","86871508","10615","2026-05-06T13:37:11.642Z"
